"","x"
"1",-2.55102422393034
"2",-2.55102422393034
"3",-1.73804239231192
"4",-1.75923410290274
"5",-2.22559803744152
"6",-2.61876102109907
"7",-0.934630899456485
"8",-1.02456473822897
"9",-1.4180301485864
"10",-1.74973683352797
"11",-0.143529040465518
"12",-0.284326309615996
"13",-0.604893195792066
"14",-0.875143582017656
"15",0.632358488675708
"16",0.461586666698421
"17",0.213918304703709
"18",0.00512421719409716
"19",1.38811577735227
"20",1.21328245111505
"21",1.0385126133017
"22",0.891174824508068
"23",2.11699407782167
"24",1.97087214011028
"25",1.86900082647828
"26",1.78311933640063
"27",2.73446972604867
"28",2.70549693659804
"29",2.68107174523636
"30",-1.91584330637235
"31",-1.9381742648327
"32",-2.28875682523932
"33",-2.57079244799506
"34",-1.30003169870838
"35",-1.36233779316998
"36",-1.67083277288607
"37",-1.91898676102839
"38",-2.3126813514405
"39",-2.62435796399548
"40",-0.687157720231106
"41",-0.78212369135957
"42",-1.04860112052375
"43",-1.26295075436601
"44",-1.60301261707461
"45",-1.872228311515
"46",-2.09727065490976
"47",-2.88657019292484
"48",-0.0780216975118785
"49",-0.197419878029696
"50",-0.421970537076146
"51",-0.602593551266035
"52",-0.889146606463107
"53",-1.11599980920449
"54",-1.30563000360609
"55",-1.97083553158663
"56",0.526732596965439
"57",0.391873453361076
"58",0.209152905008447
"59",0.0621783204007259
"60",-0.170990554295095
"61",-0.355580238978096
"62",-0.509881096268291
"63",-1.04992854452655
"64",1.12458412474194
"65",0.985853464326236
"66",0.844865787895692
"67",0.731460986304267
"68",0.551550956717086
"69",0.409125268109043
"70",0.290070485260817
"71",-0.1266145841505
"72",1.71350980482011
"73",1.58462003095326
"74",1.48526740691565
"75",1.40535328422092
"76",1.2785760544274
"77",1.17821429046841
"78",1.09432186776653
"79",0.800707162165573
"80",2.2889946421694
"81",2.18827580282635
"82",2.13045982950562
"83",2.08395682299216
"84",2.01018563623977
"85",1.95178717498067
"86",1.90297294567998
"87",1.73213505204319
"88",-1.54225771776361
"89",-1.59385510961059
"90",-1.84360456844781
"91",-2.03967031773354
"92",-2.33656250924562
"93",-2.5659224309855
"94",-1.04350259172846
"95",-1.11658271796146
"96",-1.34076932547002
"97",-1.51476707925198
"98",-1.77807053825315
"99",-1.98304643180408
"100",-2.14817724397247
"101",-0.545188219319785
"102",-0.635716641539334
"103",-0.832217675607555
"104",-0.982915183305293
"105",-1.21829529006624
"106",-1.3970585933739
"107",-1.54216246807798
"108",-2.02558249246226
"109",-0.0488076867575586
"110",-0.152393473261259
"111",-0.32077593302259
"112",-0.450952864031941
"113",-0.653680528685793
"114",-0.807878202074145
"115",-0.933044284710439
"116",-1.35042781916869
"117",0.447937758187564
"118",0.335354531216881
"119",0.196747796263925
"120",0.0855626712029768
"121",-0.0856781731277747
"122",-0.215422046725461
"123",-0.320739826464888
"124",-0.672366256975031
"125",0.942034242686358
"126",0.830350757611583
"127",0.715025071143834
"128",0.625691988251784
"129",0.48579797420261
"130",0.380395639091275
"131",0.294836331223834
"132",0.00868658143976337
"133",1.43556271962002
"134",1.32639139311662
"135",1.23825874131247
"136",1.16720503987376
"137",1.06083672183717
"138",0.979663235151871
"139",0.913772228241434
"140",0.692817704577118
"141",1.92254687304616
"142",1.82550109783295
"143",1.76305603695582
"144",1.71430209708548
"145",1.63952954772129
"146",1.58247179312188
"147",1.53615857836986
"148",1.38011680078892
"149",-1.25773175911981
"150",-1.31475489381571
"151",-1.50672238530291
"152",-1.65200998488743
"153",-1.87011129335329
"154",-2.03471871890865
"155",-2.16522669200172
"156",-0.841047778524004
"157",-0.913138146348361
"158",-1.08400447342343
"159",-1.2148671941802
"160",-1.41132856215433
"161",-1.55922275415153
"162",-1.6724476155567
"163",-2.04995324578606
"164",-0.423810488565758
"165",-0.506250418867746
"166",-0.658393173352141
"167",-0.774922617044171
"168",-0.952171682903231
"169",-1.08335720743624
"170",-1.1820521331011
"171",-1.51639302477783
"172",-0.00616290470617222
"173",-0.0962708014375203
"174",-0.229812570450489
"175",-0.332100569265926
"176",-0.487270960715048
"177",-0.602795702184875
"178",-0.690549757469315
"179",-0.983092902368359
"180",0.411696843068651
"181",0.316879347042463
"182",0.201815668461293
"183",0.111493383975401
"184",-0.0195601521950958
"185",-0.116118400233211
"186",-0.194657235593327
"187",-0.447372373594503
"188",0.827675749602327
"189",0.733281137638586
"190",0.634623867336363
"191",0.561129281818379
"192",0.448692335693506
"193",0.371616354397887
"194",0.303952455932484
"195",0.0908477901444553
"196",1.24552876249579
"197",1.15142089766525
"198",1.07346193078383
"199",1.01219064191053
"200",0.925975545321849
"201",0.858205249734387
"202",0.805361505992136
"203",0.631649378475174
"204",1.66228937197332
"205",1.57317052189229
"206",1.51266629591452
"207",1.47285690782021
"208",1.40124613583266
"209",1.35023956097124
"210",1.30698366258305
"211",1.17511680046415
"212",-1.06451762399649
"213",-1.12445776429394
"214",-1.27568206755435
"215",-1.38988553625589
"216",-1.55871161848485
"217",-1.68259173905029
"218",-1.78260183237268
"219",-2.08389206482068
"220",-0.705721774494037
"221",-0.773861935345908
"222",-0.911226336099264
"223",-1.01497536226341
"224",-1.16836742573167
"225",-1.2809387981838
"226",-1.3715143786641
"227",-1.64570456966376
"228",-0.345938396793503
"229",-0.420659176921788
"230",-0.544274015480803
"231",-0.637649128882911
"232",-0.77572157904239
"233",-0.879785886974278
"234",-0.958276857400126
"235",-1.2055336672514
"236",0.0122461445539876
"237",-0.064777897167588
"238",-0.174753645902503
"239",-0.257835478176978
"240",-0.38070287698939
"241",-0.472983684953578
"242",-0.54538319049519
"243",-0.763308722817526
"244",0.374238730330075
"245",0.293855850692496
"246",0.197408594345709
"247",0.124539314552712
"248",0.0142006183651938
"249",-0.0638269605778588
"250",-0.126163762859011
"251",-0.318956710831537
"252",0.736955393135977
"253",0.655318425210335
"254",0.572288945806222
"255",0.506774436701495
"256",0.414910094158251
"257",0.34521583340831
"258",0.296409206121152
"259",0.127597842134581
"260",1.10021981800121
"261",1.01711330273177
"262",0.947624718687174
"263",0.895298043336919
"264",0.818207445319302
"265",0.758861584410648
"266",0.719393217382952
"267",0.576432915015459
"268",1.46376575269155
"269",1.3852574643821
"270",1.32898012746862
"271",1.28660330834656
"272",1.22280176283153
"273",1.17956503543887
"274",1.14272320337477
"275",1.02762905031921
"276",-1.66780609354971
"277",-1.70469131809507
"278",-1.83583677217314
"279",-1.93297053126605
"280",-2.07351908930071
"281",-2.17432359775692
"282",-2.25229641734287
"283",-2.48554986645367
"284",-1.10928824503284
"285",-1.15809692995852
"286",-1.27200896441311
"287",-1.35642234289098
"288",-1.47863159205063
"289",-1.56633074273674
"290",-1.63419338577314
"291",-1.83685000652391
"292",-0.54599629602304
"293",-0.60370561199286
"294",-0.700725317524097
"295",-0.772657389353071
"296",-0.876852693718694
"297",-0.951665046229438
"298",-1.00957828117463
"299",-1.18211535562885
"300",0.0222678194183288
"301",-0.0410236121362291
"302",-0.121491678958654
"303",-0.18118141455137
"304",-0.26768820858269
"305",-0.333251213856574
"306",-0.380357112403272
"307",-0.520854262866078
"308",0.595617019111509
"309",0.527458165924667
"310",0.462748777446777
"311",0.415012357825442
"312",0.346325994360996
"313",0.29739298303124
"314",0.259752092258378
"315",0.147460626297077
"316",1.17131124475911
"317",1.10934034703809
"318",1.06067384094427
"319",1.02476224183273
"320",0.973078007284455
"321",0.936250787595919
"322",0.9062373666393
"323",0.823394165729761
"324",1.75570038788621
"325",1.70112526474642
"326",1.66816907847625
"327",1.64385191189802
"328",1.60621551679302
"329",1.58074353228894
"330",1.56903076075647
"331",1.50755053726588
"332",2.34285737529674
"333",2.30194259926582
"334",2.2849187608636
"335",2.27159920159664
"336",2.25547294198513
"337",2.24353891289982
"338",2.23452976393084
"339",2.20057510984976
"340",-1.8420423986672
"341",-1.87381260865537
"342",-1.98249361663612
"343",-2.06195926742554
"344",-2.17528844947027
"345",-2.25530281446596
"346",-2.3164400432245
"347",-2.49260826057126
"348",-1.38614020052971
"349",-1.42595904604847
"350",-1.52277468558673
"351",-1.59362036875957
"352",-1.69473780189033
"353",-1.76618573883711
"354",-1.82080665369781
"355",-1.9806023010331
"356",-0.929266638027284
"357",-0.972051212395198
"358",-1.05726589461735
"359",-1.11967118545096
"360",-1.20881326588052
"361",-1.27184840966738
"362",-1.32006346710795
"363",-1.46085294084123
"364",-0.462924015926155
"365",-0.515335710063352
"366",-0.585544088948741
"367",-0.639688258291327
"368",-0.717091232467024
"369",-0.77186723753207
"370",-0.817411899955602
"371",-0.935894073528603
"372",0.00814481793924834
"373",-0.0472355911120257
"374",-0.11114040328155
"375",-0.15321611108485
"376",-0.219116000052339
"377",-0.269467931355649
"378",-0.304300486897925
"379",-0.405271345994413
"380",0.48423771828175
"381",0.428199821088097
"382",0.375326734820602
"383",0.336803833622336
"384",0.282264632658765
"385",0.244136026634713
"386",0.215250255077554
"387",0.131503610319244
"388",0.969439377741908
"389",0.911495663425054
"390",0.869396136598869
"391",0.838700496844037
"392",0.795217990255874
"393",0.764807061600518
"394",0.737837552635747
"395",0.674954941084232
"396",1.45248375717567
"397",1.40321450732146
"398",1.37162982107877
"399",1.3485903695669
"400",1.31594310210413
"401",1.28953960272003
"402",1.27421669734631
"403",1.22564436581622
"404",-1.68189298762452
"405",-1.68189298762452
"406",-2.03717763962955
"407",-2.41959604227258
"408",-1.0490169432589
"409",-1.0490169432589
"410",-1.42058652605295
"411",-1.75562783775678
"412",-0.423626704388799
"413",-0.458566590150544
"414",-0.7997895012542
"415",-1.08745372201883
"416",0.193974153321608
"417",0.11031854837367
"418",-0.174706380071852
"419",-0.414993509897283
"420",0.801495247921
"421",0.68357212058399
"422",0.454745174796602
"423",0.26183513591037
"424",1.39639351927115
"425",1.26127866344378
"426",1.08864970031452
"427",0.943116752367491
"428",1.9746267818742
"429",1.84352496143475
"430",1.72709398096363
"431",1.62893812395579
"432",2.52832383455325
"433",2.43040009473601
"434",2.37016709692303
"435",2.31938833085439
"436",-1.5700842668812
"437",-1.5700842668812
"438",-1.84918775689215
"439",-2.11068203286769
"440",-2.52646361683872
"441",-1.09116465202545
"442",-1.09116465202545
"443",-1.37687376104285
"444",-1.61212831077921
"445",-1.98623442911949
"446",-2.2818488920554
"447",-2.52896562919458
"448",-0.613751308886255
"449",-0.641409671338879
"450",-0.901309893262918
"451",-1.11038362507253
"452",-1.44290765745841
"453",-1.70562570190123
"454",-1.92524256926445
"455",-2.69393626961233
"456",-0.138234681544849
"457",-0.194982339781116
"458",-0.422426796487521
"459",-0.605378967502877
"460",-0.895623145361335
"461",-1.12631145094386
"462",-1.31849120477352
"463",-1.99115227522629
"464",0.334877891647925
"465",0.254896314292533
"466",0.0598468971073557
"467",-0.0970433199292873
"468",-0.345939663384897
"469",-0.542976532477276
"470",-0.708641821083174
"471",-1.28549040693729
"472",0.804907086028295
"473",0.708309238244406
"474",0.545584612533678
"475",0.414696392124987
"476",0.207052306571405
"477",0.0426736233485053
"478",-0.0947296277251501
"479",-0.576880073908132
"480",1.27090488184046
"481",1.16533627039952
"482",1.03486187878544
"483",0.929915346278616
"484",0.763427396789368
"485",0.631630566673321
"486",0.521462889849212
"487",0.134751413145006
"488",1.73146630274057
"489",1.62605553786811
"490",1.52775637598457
"491",1.44869087044926
"492",1.32326238864224
"493",1.22397065580413
"494",1.14097433928411
"495",0.850508963301687
"496",-1.130591187313
"497",-1.13600448890363
"498",-1.36403804158311
"499",-1.54277842061951
"500",-1.81378944113818
"501",-2.02341364344671
"502",-2.19435539535794
"503",-0.744421949676491
"504",-0.771097243262479
"505",-0.979291271155123
"506",-1.14046218978529
"507",-1.38733172076873
"508",-1.57637431336277
"509",-1.73170595685863
"510",-2.2423978068382
"511",-0.358252538524454
"512",-0.403480130202083
